category,gender,ratio_hw,ratio_jf,ratio_fw,ratio_fj
Heart,Female,1.1665877599303698,0.873482554271309,0.8826131733895903,1.0104531213286776
Heart,Female,1.1798669237186317,0.8843455016072546,0.9148087881844136,1.0344472680889918
Heart,Male,1.2586475564291395,0.8348422623514712,0.8974558115116406,1.075000454557497
Heart,Female,1.1840783635068717,0.8809185404791785,0.8912066284694928,1.011678818775591
Heart,Female,1.2186122251033547,0.9028846280501452,0.8916631134381018,0.9875714855880565
Heart,Male,1.2009135244777758,0.8552254480918486,0.9141985874109264,1.068956249431839
Heart,Female,1.194368286206331,0.891044452708409,0.8791549597050908,0.9866566780510456
Heart,Female,1.2000435188643492,0.8701420042821149,0.8712483142115568,1.0012714130842983
Heart,Female,1.1918607126873322,0.8816766999238403,0.8938183911925651,1.0137711377308414
Heart,Female,1.2449087814426738,0.8833239561768731,0.8986140228267139,1.017309693168538
Heart,Female,1.2394900183930124,0.859575759000304,0.9137245664599671,1.0629948051613727
Heart,Male,1.1427865576489709,0.8636743135505387,0.8976230588712554,1.039307346285609
Heart,Female,1.2203396449767723,0.8730630041235427,0.9014928939833526,1.0325633885819618
Heart,Female,1.1690656831555428,0.8663831808084943,0.9243886680418283,1.0669513080565625
Heart,Male,1.2073399560369718,0.8611036381357166,0.90737971960478,1.0537404319522456
Heart,Female,1.227676996865439,0.8860275220434912,0.8982942950816512,1.0138446862348796
Heart,Female,1.2540120641375754,0.8892975331512709,0.9012765655764934,1.0134702188847575
Heart,Male,1.1315102453625405,0.849592722674695,0.9234769619273668,1.0869643033429817
Heart,Female,1.1879223345801797,0.8825725196586001,0.8861968894968161,1.0041065972002141
Heart,Female,1.1975833862030778,0.887728328232177,0.883380888858084,0.9951027366866274
Heart,Female,1.195249421309253,0.8633419919272811,0.9052626555642238,1.0485562662640342
Heart,Female,1.156116494269726,0.8716986830968206,0.894803275935161,1.0265052515122064
Heart,Male,1.164806023472831,0.8528460617974088,0.936219047245314,1.0977585395331406
Heart,Female,1.2775898602516849,0.8539126174052344,0.9294830447541066,1.0884990171225088
Heart,Female,1.1928672820510255,0.9069091324163955,0.899656249654168,0.9920026356522591
Heart,Female,1.2247389908449957,0.8956238996515148,0.9065670438164111,1.0122184592987684
Heart,Female,1.1819696098815726,0.8772150790414959,0.885411176265612,1.009343315476373
Heart,Female,1.1690127651392332,0.8623657706418181,0.9061101172813569,1.050725977454998
Heart,Female,1.2000219994072063,0.8634032394549297,0.9088967874924775,1.052690962876475
Heart,Female,1.2155607252048186,0.8864603345971652,0.885486369845843,0.9989012878373571
Heart,Female,1.1513034096728303,0.8838459084931096,0.8919974220503863,1.0092227768199713
Heart,Female,1.2118437108970517,0.8560227010626531,0.8931083621787653,1.0433232215338153
Heart,Female,1.2027216622127954,0.8529060296298291,0.913527812881214,1.0710767436803037
Heart,Female,1.180583518403177,0.9006823468533949,0.8813917082544898,0.9785821953030406
Heart,Female,1.2644031100330888,0.8826238805434197,0.875714482210991,0.9921717523344432
Heart,Male,1.1453179853428224,0.8562001618686949,0.9320220702845893,1.0885562883454842
Heart,Female,1.1746356315999866,0.8787391848731987,0.8865736412264432,1.0089155650369397
Heart,Female,1.1961830513933775,0.8931141007357846,0.8779847227864076,0.9830599719152202
Heart,Female,1.1799514610107962,0.8936723375053564,0.8592016487035988,0.9614280454310796
Heart,Female,1.1482493085227117,0.8473292454263247,0.9450648817181537,1.1153455245636592
Heart,Female,1.2392600186744516,0.8417281850922116,0.9031941954530537,1.073023585819582
Heart,Male,1.1926951273846849,0.898678624501074,0.8671656651739817,0.9649341171939106
Heart,Female,1.1843791081650943,0.8768267667518368,0.8798000939392198,1.0033910086919422
Heart,Female,1.2152355472646037,0.8723856647227817,0.9058482269208228,1.0383575333148953
Heart,Female,1.2096563987907423,0.858948537279869,0.9069959955961339,1.0559375285374166
Heart,Female,1.2094327906102877,0.8764289672119416,0.8907090547401524,1.0162934910442747
Heart,Female,1.177184424405411,0.8858604695812735,0.8882292493650819,1.0026739874564308
Heart,Female,1.200898393799244,0.8953653432956319,0.8713273919343971,0.9731529128961407
Heart,Male,1.1638392391755936,0.886576102714414,0.8850655574560867,0.9982962035027761
Heart,Female,1.2390529638156556,0.8881849025432009,0.8861907728343835,0.9977548259342087
Heart,Female,1.2525525724502142,0.8868024887784105,0.905354028526159,1.0209195846679497
Heart,Female,1.2270215986667923,0.8806301857913034,0.8925405683069907,1.0135248401745223
Heart,Female,1.2406416291378177,0.9061750556735866,0.8773669961080559,0.9682091673290247
Heart,Female,1.1873829637651923,0.863803767042486,0.8943882294121034,1.035406724925886
Heart,Female,1.1686000840331705,0.8920845248554888,0.8639490977783361,0.9684610299884863
Heart,Female,1.2355913473484215,0.8699141272396798,0.9158971022006253,1.0528592116406408
Heart,Female,1.1654939916155929,0.8859550598800869,0.8958680423926028,1.01118903538274
Heart,Female,1.1653505174377108,0.8782719858291366,0.8954293912241114,1.0195354123458433
Heart,Female,1.2292696924973785,0.8636042303090175,0.8965590719507432,1.0381596574972007
Heart,Female,1.232452856847205,0.8885208894099947,0.866464580534243,0.9751763755488092
Heart,Female,1.193064855530017,0.8862626498127523,0.8700019786611861,0.9816525370272552
Heart,Female,1.2215705141836195,0.8600740953127102,0.9083061822690497,1.05607899042559
Heart,Female,1.1678575103621769,0.8785775506855642,0.8932966962809344,1.0167533823097172
Heart,Female,1.218134262219224,0.8624219343798876,0.9360975506145425,1.0854287365587825
Heart,Female,1.1478800064897206,0.8559602140740872,0.8979778697677977,1.0490883279419267
Heart,Male,1.1756459611318888,0.8780446380461453,0.9023706106107701,1.027704710570018
Heart,Female,1.245932329141081,0.88511169976779,0.8823825852533281,0.9969166439499356
Heart,Female,1.2120919761319806,0.8774427329271864,0.8924452569967397,1.0170980093703714
Heart,Female,1.1651680756336564,0.8645916903876736,0.9067805450501448,1.0487962758970701
Heart,Female,1.1929022088600099,0.891159930325114,0.8880400822803631,0.9964991154353039
Heart,Female,1.195085989874177,0.8614569076714806,0.9383455547497932,1.0892541999415186
Heart,Male,1.2136319529279718,0.8945465961110405,0.8946352807553295,1.0000991392116125
Heart,Female,1.1634385064951567,0.8861219637816169,0.8840229485627948,0.9976312344072091
Heart,Female,1.140978008373486,0.8895629093699831,0.8783828436389665,0.987431956061506
Heart,Female,1.157105904197241,0.8670755930570689,0.9061572931168745,1.0450730021381578
Heart,Female,1.2745470573652282,0.8944671901208343,0.9236395899986832,1.0326142760741264
Heart,Female,1.2006421986800375,0.8334586135564954,0.9527226205191122,1.1430952959424092
